搜狗,15k-30k,经验3-5年 / 本科,“优秀团队，核心技术能力，技术氛围浓厚”,搜狗浏览器-C++开发工程师,杭州·仓前
美团点评,30k-45k,经验3-5年 / 本科,"“期权,商险,年假”",资深C++研发工程师,杭州·仓前
商汤科技,20k-40k,经验3-5年 / 本科,"“人工智能,福利好,技术大牛多,弹性工作”",高级C++开发工程师,杭州·仓前
亲宝宝,8k-15k,经验1-3年 / 本科,"“B轮机会,扁平管理,年底多薪,免费体检”",C++开发工程师（初级）,杭州·仓前
孩子王,13k-26k,经验3-5年 / 本科,“互联网氛围浓厚”,C++,杭州·仓前
ZOOM,12k-24k,经验3-5年 / 本科,"“薪酬福利好,技术挑战高,原始股权,发展空间大”",高级C++开发工程师,杭州·仓前
一起作业网,25k-35k,经验3-5年 / 本科,"“发展快,平台大”",C++客户端研发工程师,杭州·仓前
高奈特,15k-20k,经验3-5年 / 本科,"“制度完善,上升空间大,待遇福利好,培训发展多”",C++开发工程师,杭州·仓前
360,18k-35k,经验3-5年 / 本科,“平台大、发展好，业务发展迅速”,服务端开发工程师-C/C++,杭州·仓前
深信服科技集团,12k-24k,经验1-3年 / 本科,"“超多福利,扁平化管理,朝阳行业,晋升快”",Linux C/C++开发工程师,杭州·仓前
唯品会,20k-40k,经验5-10年 / 本科,"“核心团队,弹性工作时”",C++高级开发工程师,杭州·仓前
泛微,13k-20k,经验1-3年 / 本科,"“上市公司,免费三餐,健身房,员工旅游”",C++,杭州·仓前
极光,15k-30k,经验3-5年 / 本科,“14薪、弹性工作、扁平管理、工作餐、下午茶”,高级C++开发工程师,杭州·仓前
武汉佰钧成技术有限公司,6k-12k,经验1-3年 / 本科,"“五险一金,弹性工时,年度体检”",C++开发,武汉·江夏区
瑞为智能,10k-16k,经验1-3年 / 本科,"“绩效奖金,六险一金,年终奖,年度体检”",C++开发工程师,武汉·江夏区
电竞虎,10k-18k,经验1-3年 / 大专,"“扁平化管理,帅哥美女多,每周下午茶,弹性工作制”",C++开发工程师,武汉·江夏区
有利网,15k-30k,经验3-5年 / 本科,"“五险一金,团队友好”",高级C++开发工程师,武汉·江夏区
游族网络,18k-25k,经验3-5年 / 不限,“福利好、待遇好、上市游戏公司”,资深C++开发工程师,武汉·江夏区
安恒信息,10k-20k,经验3-5年 / 本科,"“五险一金,带薪年假,节假日福利,国内外旅游”",C++,武汉·江夏区
金证股份,7k-12k,经验1年以下 / 本科,“证券金融”,2017/2018毕业生-C++开发工程师,武汉·江夏区
竞技世界（杭州）网络技术有限公司,15k-25k,经验3-5年 / 本科,"“六险一金,福利好,公司旅游,免费体检”",C++软件工程师,武汉·江夏区
通力互联,7k-14k,经验1-3年 / 本科,“发展空间大 管理规范 福利齐全”,C++工程师,武汉·江夏区
AbleCloud,25k-40k,经验3-5年 / 本科,“IoT云计算业界最优秀技术团队”,c++/go 后端研发工程师,武汉·江夏区
柏视医疗,15k-25k,经验3-5年 / 本科,"“人工智能,技术大牛,扁平管理,高成长”",C++开发工程师,武汉·江夏区
清研讯科,15k-25k,经验1-3年 / 本科,"“股票期权,名校团队,各种福利”",C++软件工程师,武汉·江夏区
博奥特科技,8k-15k,经验1-3年 / 本科,"“晋升空间大,金融项目,办公环境好”",C++开发工程师,武汉·江夏区
联通时科,15k-25k,经验1-3年 / 本科,“五险一金、商业保险、企业年金”,高级Linux C/C++工程师,武汉·江夏区
北京来为科技股份有限公司,10K-20K,经验1-3年 / 本科,“外企工作模式 弹性工作 氛围好 下午茶”,C++工程师,武汉·江夏区
武汉佰钧成技术有限公司,9k-18k,经验1-3年 / 本科,"“带薪年假,六险一金,不加班,弹性上下班”",初级C++开发工程师,上海·新华路
湖北卡游科技有限公司,10k-18k,经验3-5年 / 大专,“游戏开发”,C++开发工程师,上海·新华路
茵润网络科技,25k-35k,经验3-5年 / 大专,"“福利待遇好,高薪酬”",C++开发工程师,上海·新华路
大川,10k-20k,经验1-3年 / 大专,“五险一金、年终分红、地铁周边、包吃”,C++开发工程师,上海·新华路
百度,20k-40k,经验3-5年 / 本科,"“薪水高,平台广,机会多”",C++开发工程师,上海·新华路
好未来,20k-40k,经验3-5年 / 本科,“上市公司 leader nice”,C++工程师,上海·新华路
信联科汇,10k-20k,经验3-5年 / 本科,"“研究开发,锻炼能力”",Linux C/C++开发工程师,上海·新华路
万通顺达,10k-18k,经验3-5年 / 本科,"“待遇好,环境好,团队年轻”",C++工程师,上海·新华路
竞技世界,25k-40k,经验5-10年 / 本科,"“带薪年假,年终奖,交通补助”",C++服务开发工程师,上海·新华路
腾展叮咚（Dingtone）,12k-24k,经验1-3年 / 本科,"“五险一金,节日福利,股票期权,上市公司”",linus C++开发,上海·新华路
